Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Zion Williamson,33,990,746,116,293,68,70,59,296,435,203,.680,24,71,.338,130,.640
Dylan Windler,32,590,139,40,145,29,20,19,49,99,45,.495,11,46,.239,30,.667
Justise Winslow,39,1135,492,49,252,82,52,34,173,356,156,.486,46,110,.418,100,.641
James Wiseman,3,69,59,13,32,1,1,9,20,26,27,.769,0,1,.000,19,.704
Christian Wood,30,390,135,26,97,10,10,29,48,117,35,.410,11,50,.220,28,.800
Delon Wright,33,1202,513,42,224,174,82,43,174,310,193,.561,12,54,.222,153,.793
McKinley Wright IV,32,1042,454,52,149,175,31,14,166,368,122,.451,28,92,.304,94,.770
Gabe York,15,87,36,0,5,9,2,0,13,32,4,.406,8,23,.348,2,.500
Thaddeus Young,31,917,445,72,151,63,39,12,177,370,70,.478,39,93,.419,52,.743
Trae Young,32,1133,876,14,125,279,54,8,261,618,274,.422,118,328,.360,236,.861
Omer Yurtseven,22,416,130,30,96,26,4,16,53,116,32,.457,1,3,.333,23,.719
Cody Zeller,36,1025,563,87,236,45,49,42,200,321,216,.623,0,0,,163,.755
Ivica Zubac,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
