Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Dominique Wilkins*,16,508,297,,104,23,27,20,135,257,37,.525,,,,27,.730
Jeff Wilkins,25,,252,,186,25,,,107,261,56,.410,,,,38,.679
Buck Williams,30,906,300,,323,18,29,25,120,206,109,.583,,,,60,.550
Freeman Williams,26,,436,,89,,,,186,435,81,.428,,,,64,.790
Gus Williams,19,,272,,78,,,,113,246,69,.459,,,,46,.667
Herb Williams,27,992,452,,308,32,15,79,196,407,91,.482,,,,60,.659
Ray Williams,25,,497,,141,130,,,195,414,145,.471,,,,107,.738
Rickey Williams,21,,103,,31,,,,35,90,49,.389,,,,33,.673
Rob Williams,28,903,456,,72,127,48,1,180,351,127,.513,,,,96,.756
Sam Williams,30,500,170,,167,64,23,39,67,133,67,.504,,,,36,.537
Sly Williams,26,919,520,,210,,42,17,212,496,135,.427,,,,96,.711
Bill Willoughby,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Brian Winters,16,,368,,156,,,,138,299,108,.462,,,,92,.852
Al Wood,31,,281,,121,38,24,16,125,207,43,.604,,,,31,.721
Mike Woodson,27,891,500,,182,43,,,212,407,96,.521,,,,76,.792
Orlando Woolridge,24,230,98,,51,12,,,41,78,33,.526,,,,16,.485
James Worthy*,14,396,175,,104,26,17,22,74,126,45,.587,,,,27,.600
Jim Zoet,17,,37,,31,,,,16,37,12,.432,,,,5,.417
Alaa Abdelnaby,29,192,106,,50,6,1,3,47,81,23,.580,0,0,,12,.522
Mahmoud Abdul-Rauf,32,1180,965,,108,130,55,6,359,739,200,.486,84,216,.389,163,.815
Mark Acres,22,702,322,,178,38,33,35,109,186,143,.586,,,,104,.727
Michael Adams,26,379,138,,30,40,29,3,51,103,61,.495,,,,36,.590
Rafael Addison,31,572,261,24,98,37,18,10,110,211,63,.521,,,,41,.651
Mark Aguirre,32,1206,767,,244,86,40,9,302,581,213,.520,,,,163,.765
Danny Ainge,30,1140,632,,173,158,60,6,243,473,169,.514,,,,146,.864
Victor Alexander,23,120,39,,32,4,2,5,18,30,6,.600,0,0,,3,.500
Eric Anderson,34,964,404,,208,10,14,33,145,266,157,.545,0,0,,114,.726
Kenny Anderson,35,1321,721,,193,285,79,3,283,549,146,.515,48,117,.410,107,.733
Nick Anderson,33,909,525,,217,53,37,28,223,390,120,.572,2,6,.333,77,.642
Ron Anderson,35,1303,572,,204,78,54,22,234,426,128,.549,0,1,.000,104,.813
Willie Anderson,13,80,43,,19,4,3,3,19,39,8,.487,,,,5,.625
Greg Anthony,28,923,429,,121,112,54,8,147,369,144,.398,35,95,.368,100,.694
B.J. Armstrong,29,232,83,,16,41,8,0,32,66,21,.485,,,,19,.905
Vincent Askew,35,1177,289,,117,170,34,4,115,225,93,.511,,,,59,.634
Keith Askins,32,432,94,,95,8,21,8,33,80,29,.413,2,7,.286,16,.552
Stacey Augmon,34,884,311,,206,64,69,24,117,204,116,.574,2,2,1.000,75,.647
Isaac Austin,31,848,425,,192,27,20,24,164,300,150,.547,0,1,.000,97,.647
Anthony Avent,38,395,168,,114,12,6,27,68,149,49,.456,0,0,,32,.653
John Bagley,29,,343,,91,65,43,1,130,270,115,.481,,,,83,.722
Thurl Bailey,28,476,125,,102,7,11,24,44,101,55,.436,,,,37,.673
Steve Bardo,31,630,119,,92,85,23,15,42,102,50,.412,1,3,.333,34,.680
Charles Barkley*,28,746,356,,275,30,13,51,144,242,107,.595,,,,68,.636
Dana Barros,28,971,384,,78,97,57,0,158,330,86,.479,,,,68,.791
Jon Barry,29,809,275,,74,108,39,3,100,269,71,.372,22,59,.373,53,.746
John Battle,29,373,70,,29,22,8,1,29,67,28,.433,,,,12,.429
Kenny Battle,27,1003,544,,167,59,60,41,195,369,234,.528,,,,154,.658
William Bedford,26,684,246,,137,16,8,57,108,187,56,.578,,,,30,.536
Benoit Benjamin,27,871,400,,259,28,12,92,162,292,116,.555,,,,76,.655
Tony Bennett,27,930,516,,54,138,49,1,179,343,131,.522,47,107,.439,111,.847
David Benoit,31,913,335,,248,20,15,18,136,268,84,.507,1,3,.333,62,.738
Rolando Blackman,29,,315,,187,45,,,127,269,93,.472,,,,61,.656
Alex Blackwell,29,1072,571,,227,30,24,28,217,365,179,.595,0,0,,137,.765
Lance Blanks,14,103,34,,15,6,7,0,14,32,12,.438,,,,6,.500
Ricky Blanton,29,333,102,,52,23,8,0,41,67,33,.612,,,,20,.606
Mookie Blaylock,34,,570,,109,158,,,254,449,84,.566,,,,62,.738
