PER,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fgp,Tpm,Tpa,Tpp,Ftm,Ftp
14.3,31,872.0,380,107,76.0,41.0,5.0,124,269,150,0.461,39,98,0.398,94,0.627
16.1,16,319.0,121,69,5.0,15.0,35.0,45,110,50,0.409,1,8,0.125,30,0.6
16.0,22,382.0,176,72,23.0,6.0,11.0,66,127,28,0.52,22,47,0.468,22,0.786
13.1,31,830.0,384,158,36.0,14.0,34.0,161,342,98,0.471,3,7,0.429,59,0.602
16.2,31,303.0,95,23,35.0,19.0,0.0,32,59,27,0.542,15,26,0.577,16,0.593
14.5,25,408.0,143,105,3.0,9.0,48.0,55,103,71,0.534,0,0,0.0,33,0.465
13.9,33,981.0,484,256,53.0,21.0,50.0,170,294,203,0.578,0,3,0.0,144,0.709
14.0,32,1005.0,542,193,66.0,56.0,33.0,187,416,152,0.45,47,140,0.336,121,0.796
13.6,37,1212.0,407,189,244.0,98.0,37.0,145,384,151,0.378,15,62,0.242,102,0.675
14.5,22,438.0,198,130,12.0,19.0,15.0,82,148,62,0.554,0,0,0.0,34,0.548
15.9,27,892.0,514,250,42.0,12.0,26.0,194,298,181,0.651,0,1,0.0,126,0.696
9.5,28,459.0,149,98,21.0,28.0,14.0,52,129,63,0.403,5,25,0.2,40,0.635
16.8,25,740.0,457,208,21.0,19.0,41.0,161,312,129,0.516,35,79,0.443,100,0.775
10.1,35,896.0,273,89,181.0,38.0,1.0,91,195,94,0.467,28,70,0.4,63,0.67
10.8,33,678.0,132,181,20.0,23.0,46.0,48,99,57,0.485,0,0,0.0,36,0.632
9.9,36,1146.0,762,89,128.0,43.0,20.0,265,647,230,0.41,66,208,0.317,166,0.722
16.0,33,479.0,259,148,47.0,28.0,8.0,95,227,73,0.419,17,55,0.309,52,0.712
12.7,29,841.0,396,210,37.0,17.0,78.0,153,279,164,0.548,2,6,0.333,88,0.537
16.3,36,824.0,351,216,55.0,42.0,37.0,126,288,155,0.438,11,63,0.175,88,0.568
17.0,35,732.0,333,232,18.0,24.0,63.0,139,230,91,0.604,0,1,0.0,55,0.604
13.8,30,715.0,239,89,103.0,71.0,8.0,81,178,87,0.455,15,48,0.313,62,0.713
12.1,33,1057.0,191,122,104.0,64.0,12.0,65,166,66,0.392,21,65,0.323,40,0.606
20.9,34,1088.0,528,340,76.0,54.0,84.0,229,412,113,0.556,14,54,0.259,56,0.496
16.1,30,887.0,474,183,84.0,84.0,18.0,177,380,141,0.466,33,99,0.333,87,0.617
14.2,16,394.0,208,39,37.0,30.0,2.0,61,134,73,0.455,25,56,0.446,61,0.836
14.2,26,201.0,61,46,2.0,8.0,23.0,24,56,35,0.429,0,0,0.0,13,0.371
12.3,28,865.0,523,182,41.0,34.0,20.0,188,386,160,0.487,33,95,0.347,114,0.713
13.8,28,982.0,374,92,161.0,41.0,0.0,119,290,73,0.41,80,191,0.419,56,0.767
15.5,34,294.0,122,73,16.0,6.0,18.0,51,88,33,0.58,0,0,0.0,20,0.606
10.0,28,616.0,135,73,72.0,30.0,2.0,46,129,58,0.357,7,23,0.304,36,0.621
13.9,28,278.0,62,76,6.0,6.0,28.0,27,47,20,0.574,0,0,0.0,8,0.4
13.7,31,721.0,245,87,88.0,41.0,3.0,79,203,96,0.389,20,51,0.392,67,0.698
11.7,30,781.0,470,151,37.0,36.0,53.0,166,327,209,0.508,0,5,0.0,138,0.66
9.2,32,972.0,366,110,131.0,74.0,9.0,125,327,92,0.382,42,133,0.316,74,0.804
14.2,28,816.0,375,99,178.0,50.0,9.0,144,276,70,0.522,35,92,0.38,52,0.743
12.2,34,1157.0,492,143,220.0,81.0,6.0,179,427,89,0.419,73,206,0.354,61,0.685
15.9,31,939.0,337,310,45.0,38.0,11.0,126,252,132,0.5,2,11,0.182,83,0.629
12.8,29,588.0,222,108,31.0,15.0,16.0,83,172,73,0.483,2,10,0.2,54,0.74
13.3,29,132.0,48,12,20.0,7.0,0.0,12,31,21,0.387,6,20,0.3,18,0.857
14.9,18,454.0,263,92,30.0,7.0,22.0,101,176,98,0.574,0,0,0.0,61,0.622
11.2,30,525.0,205,157,16.0,7.0,45.0,71,147,93,0.483,0,0,0.0,63,0.677
14.8,32,870.0,372,201,62.0,52.0,36.0,139,335,114,0.415,34,104,0.327,60,0.526
13.3,34,1170.0,503,345,50.0,26.0,71.0,198,353,171,0.561,0,1,0.0,107,0.626
9.5,30,705.0,229,156,42.0,43.0,29.0,83,199,57,0.417,23,84,0.274,40,0.702
11.2,34,558.0,185,124,9.0,21.0,34.0,72,110,72,0.655,0,0,0.0,41,0.569
15.0,33,543.0,216,165,15.0,14.0,25.0,83,136,78,0.61,0,0,0.0,50,0.641
11.9,29,907.0,314,97,63.0,18.0,7.0,106,240,89,0.442,39,101,0.386,63,0.708
15.3,27,311.0,106,37,14.0,9.0,2.0,38,130,6,0.292,28,91,0.308,2,0.333
16.6,40,330.0,112,119,5.0,11.0,34.0,43,83,38,0.518,0,0,0.0,26,0.684
20.7,16,355.0,158,95,14.0,17.0,24.0,57,86,67,0.663,0,0,0.0,44,0.657
12.5,34,993.0,276,193,55.0,17.0,52.0,116,208,57,0.558,2,5,0.4,42,0.737
12.2,31,899.0,401,253,46.0,30.0,38.0,146,283,152,0.516,7,39,0.179,102,0.671
12.0,30,315.0,83,69,9.0,15.0,10.0,29,58,42,0.5,0,0,0.0,25,0.595
10.3,31,759.0,203,130,51.0,18.0,3.0,67,149,87,0.45,2,5,0.4,67,0.77
9.9,33,1021.0,438,123,35.0,26.0,16.0,148,340,105,0.435,67,177,0.379,75,0.714
16.5,33,1096.0,539,269,16.0,22.0,18.0,189,397,129,0.476,58,152,0.382,103,0.798
19.5,35,1274.0,778,349,77.0,55.0,30.0,277,612,238,0.453,56,166,0.337,168,0.706
9.7,31,423.0,58,85,6.0,7.0,48.0,22,44,29,0.5,0,0,0.0,14,0.483
13.1,25,789.0,289,162,52.0,42.0,11.0,107,251,113,0.426,18,76,0.237,57,0.504
12.2,38,721.0,374,177,17.0,33.0,56.0,155,288,99,0.538,0,5,0.0,64,0.646
14.0,35,1245.0,503,99,233.0,53.0,3.0,154,343,179,0.449,45,102,0.441,150,0.838
12.4,27,688.0,295,165,15.0,12.0,23.0,115,233,89,0.494,0,2,0.0,65,0.73
10.1,34,1110.0,573,251,47.0,24.0,24.0,194,425,176,0.456,33,77,0.429,152,0.864
14.5,28,901.0,477,85,109.0,44.0,1.0,158,388,144,0.407,48,152,0.316,113,0.785
13.8,37,1087.0,578,216,53.0,27.0,16.0,209,497,124,0.421,67,195,0.344,93,0.75
12.7,30,394.0,118,86,23.0,10.0,5.0,43,99,46,0.434,10,34,0.294,22,0.478
8.6,30,508.0,168,117,23.0,14.0,31.0,64,149,73,0.43,0,4,0.0,40,0.548
13.9,35,1070.0,431,173,99.0,54.0,17.0,167,390,83,0.428,39,147,0.265,58,0.699
15.3,29,1013.0,370,214,17.0,21.0,56.0,121,240,157,0.504,5,19,0.263,123,0.783
12.2,30,1072.0,592,82,121.0,29.0,3.0,173,378,223,0.458,59,145,0.407,187,0.839
13.7,28,462.0,145,116,3.0,5.0,13.0,60,140,39,0.429,0,1,0.0,25,0.641
11.4,35,571.0,158,107,53.0,33.0,8.0,61,141,63,0.433,9,34,0.265,27,0.429
18.4,37,1267.0,546,249,83.0,51.0,31.0,175,393,173,0.445,63,186,0.339,133,0.769
15.6,33,1041.0,866,408,38.0,42.0,54.0,307,577,279,0.532,36,95,0.379,216,0.774
12.3,35,1203.0,485,156,110.0,61.0,14.0,150,351,138,0.427,73,189,0.386,112,0.812
16.5,37,963.0,429,337,35.0,62.0,41.0,168,313,149,0.537,0,0,0.0,93,0.624
11.1,35,1115.0,244,106,217.0,71.0,10.0,86,211,51,0.408,37,102,0.363,35,0.686
17.0,37,1122.0,419,114,107.0,52.0,12.0,144,312,123,0.462,49,128,0.383,82,0.667
9.6,33,917.0,411,119,57.0,47.0,1.0,138,339,135,0.407,48,164,0.293,87,0.644
16.4,33,1002.0,411,326,73.0,14.0,44.0,168,291,111,0.577,4,11,0.364,71,0.64
13.6,36,485.0,174,115,15.0,11.0,9.0,66,150,30,0.44,16,56,0.286,26,0.867
15.0,36,934.0,374,232,38.0,32.0,78.0,159,264,91,0.602,0,0,0.0,56,0.615
20.6,31,960.0,485,278,38.0,30.0,67.0,168,300,174,0.56,22,46,0.478,127,0.73
10.7,34,1003.0,396,98,71.0,44.0,18.0,159,368,66,0.432,42,112,0.375,36,0.545
11.8,32,791.0,241,110,63.0,46.0,13.0,87,169,86,0.515,17,39,0.436,50,0.581
14.4,28,907.0,341,153,94.0,57.0,20.0,125,260,129,0.481,17,64,0.266,74,0.574
13.3,21,541.0,146,50,56.0,17.0,1.0,46,124,33,0.371,28,76,0.368,26,0.788
13.9,18,167.0,62,17,7.0,6.0,3.0,21,55,21,0.382,5,19,0.263,15,0.714
12.4,30,687.0,237,75,38.0,33.0,1.0,88,195,57,0.451,15,44,0.341,46,0.807
13.0,31,1024.0,484,179,62.0,37.0,13.0,176,363,97,0.485,50,136,0.368,82,0.845
14.2,30,907.0,512,150,53.0,35.0,12.0,172,320,193,0.538,19,54,0.352,149,0.772
21.6,35,687.0,196,138,26.0,17.0,16.0,55,107,112,0.514,0,4,0.0,86,0.768
14.6,31,584.0,197,48,44.0,21.0,1.0,73,212,40,0.344,25,98,0.255,26,0.65
13.3,34,531.0,135,129,25.0,20.0,2.0,56,112,42,0.5,5,18,0.278,18,0.429
11.6,37,968.0,364,98,78.0,26.0,10.0,125,310,65,0.403,64,183,0.35,50,0.769
