Names,PER,Age,Href,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Johnny Davis,14.3,27,/players/d/davisjo01.html,31,753,218,128,35,34,18,86,195,44,.441,14,36,.389,32,.727
Mike Dunleavy,14.0,28,/players/d/dunlemi01.html,30,724,273,128,50,33,14,97,211,61,.460,34,97,.351,45,.738
Gerald Henderson,13.4,27,/players/h/hendege01.html,32,618,219,92,35,16,10,87,193,59,.451,8,25,.320,37,.627
Russ Schoene,11.1,22,/players/s/schoeru01.html,28,457,202,113,8,8,12,80,154,57,.519,0,0,0,42,.737
Jeff Taylor,8.1,23,/players/t/tayloje01.html,31,805,377,192,53,29,12,136,271,139,.502,9,41,.220,96,.691
Alaa Abdelnaby,13.0,24,/players/a/abdelal01.html,29,192,106,50,6,1,3,47,81,23,.580,0,0,0,12,.522
Mahmoud Abdul-Rauf,15.4,23,/players/a/abdulma02.html,32,1180,965,108,130,55,6,359,739,200,.486,84,216,.389,163,.815
Victor Alexander,13.7,23,/players/a/alexavi01.html,23,120,39,32,4,2,5,18,30,6,.600,0,0,0,3,.500
Eric Anderson,13.1,22,/players/a/anderer01.html,34,964,404,208,10,14,33,145,266,157,.545,0,0,0,114,.726
Kenny Anderson,16.4,22,/players/a/anderke01.html,35,1321,721,193,285,79,3,283,549,146,.515,48,117,.410,107,.733
Nick Anderson,15.8,25,/players/a/anderni01.html,33,909,525,217,53,37,28,223,390,120,.572,2,6,.333,77,.642
Ron Anderson,14.3,34,/players/a/anderro01.html,35,1303,572,204,78,54,22,234,426,128,.549,0,1,.000,104,.813
Greg Anthony,14.5,25,/players/a/anthogr01.html,28,923,429,121,112,54,8,147,369,144,.398,35,95,.368,100,.694
Keith Askins,9.2,25,/players/a/askinke01.html,32,432,94,95,8,21,8,33,80,29,.413,2,7,.286,16,.552
Stacey Augmon,13.7,24,/players/a/augmost01.html,34,884,311,206,64,69,24,117,204,116,.574,2,2,1.000,75,.647
Isaac Austin,13.0,23,/players/a/austiis01.html,31,848,425,192,27,20,24,164,300,150,.547,0,1,.000,97,.647
Anthony Avent,8.8,23,/players/a/aventan01.html,38,395,168,114,12,6,27,68,149,49,.456,0,0,0,32,.653
Steve Bardo,8.1,24,/players/b/bardost01.html,31,630,119,92,85,23,15,42,102,50,.412,1,3,.333,34,.680
Jon Barry,14.7,23,/players/b/barryjo01.html,29,809,275,74,108,39,3,100,269,71,.372,22,59,.373,53,.746
Tony Bennett,9.5,23,/players/b/benneto01.html,27,930,516,54,138,49,1,179,343,131,.522,47,107,.439,111,.847
David Benoit,12.0,24,/players/b/benoida01.html,31,913,335,248,20,15,18,136,268,84,.507,1,3,.333,62,.738
Alex Blackwell,8.2,22,/players/b/blackal01.html,29,1072,571,227,30,24,28,217,365,179,.595,0,0,0,137,.765
Walter Bond,9.2,23,/players/b/bondwa01.html,26,223,62,36,25,3,2,29,55,8,.527,0,2,.000,4,.500
Anthony Bonner,11.5,24,/players/b/bonnean01.html,35,1066,360,337,46,32,12,138,233,127,.592,0,0,0,84,.661
Terrell Brandon,19.7,22,/players/b/brandte01.html,29,1067,518,106,174,51,4,190,401,129,.474,41,94,.436,97,.752
Kevin Brooks,8.3,23,/players/b/brookke01.html,27,998,453,170,42,18,6,179,317,109,.565,12,34,.353,83,.761
Dee Brown,14.6,24,/players/b/brownde01.html,21,186,71,28,17,11,0,28,65,22,.431,2,12,.167,13,.591
Randy Brown,10.3,24,/players/b/brownra02.html,28,578,105,75,81,32,2,42,83,36,.506,0,2,.000,21,.583
Jud Buechler,11.2,24,/players/b/buechju01.html,30,474,134,68,35,10,3,54,111,28,.486,10,25,.400,16,.571
Willie Burton,12.7,24,/players/b/burtowi01.html,28,674,243,118,30,12,19,96,211,74,.455,3,11,.273,48,.649
Dexter Cambridge,12.1,23,/players/c/cambrde01.html,32,599,389,125,29,23,9,136,292,119,.466,26,81,.321,91,.765
Elden Campbell,15.9,24,/players/c/campbel01.html,31,534,273,126,20,11,62,107,193,84,.554,0,0,0,59,.702
Terry Catledge,14.1,29,/players/c/catlete01.html,28,911,551,278,19,23,24,216,387,171,.558,0,0,0,119,.696
Duane Causwell,11.7,24,/players/c/causwdu01.html,33,399,67,85,3,10,31,27,55,30,.491,0,0,0,13,.433
Cedric Ceballos,19.3,23,/players/c/cebalce01.html,29,986,615,256,43,46,8,241,545,174,.442,16,58,.276,117,.672
Rex Chapman,13.9,25,/players/c/chapmre01.html,29,962,464,66,103,36,15,173,390,68,.444,68,176,.386,50,.735
Pete Chilcutt,11.9,24,/players/c/chilcpe01.html,34,573,168,110,43,10,10,66,117,51,.564,0,1,.000,36,.706
Doug Christie,14.6,22,/players/c/chrisdo01.html,28,687,250,115,112,44,34,84,167,98,.503,12,47,.255,70,.714
Derrick Coleman,18.0,25,/players/c/colemde01.html,38,1163,453,333,45,45,67,173,309,156,.560,0,0,0,107,.686
Bimbo Coles,12.1,24,/players/c/colesbi01.html,28,752,280,85,112,34,5,101,245,109,.412,0,14,.000,78,.716
Marty Conlon,13.2,25,/players/c/conloma01.html,34,487,150,100,16,11,7,43,96,77,.448,0,0,0,64,.831
Duane Cooper,7.7,23,/players/c/coopedu01.html,27,180,31,16,17,6,0,10,32,15,.313,1,9,.111,10,.667
Chris Corchiani,11.7,24,/players/c/corchch01.html,32,788,202,44,235,61,1,61,120,72,.508,20,40,.500,60,.833
Joe Courtney,9.7,23,/players/c/courtjo01.html,28,449,122,73,10,6,13,49,112,29,.438,0,0,0,24,.828
John Crotty,12.7,23,/players/c/crottjo01.html,31,717,195,70,92,18,1,59,163,87,.362,26,75,.347,51,.586
Brad Daugherty,18.9,27,/players/d/daughbr01.html,35,815,287,181,33,10,36,110,197,101,.558,0,1,.000,67,.663
Dale Davis,15.2,23,/players/d/davisda01.html,29,714,227,223,10,16,38,91,171,89,.532,0,0,0,45,.506
Hubert Davis,11.8,22,/players/d/davishu01.html,35,248,116,27,9,3,1,44,86,31,.512,4,13,.308,24,.774
Johnny Dawkins,14.7,29,/players/d/dawkijo01.html,28,1002,506,115,134,26,10,207,414,107,.500,19,54,.352,73,.682
Todd Day,14.1,23,/players/d/dayto01.html,32,741,425,129,49,48,27,148,328,137,.451,31,90,.344,98,.715
Bison Dele,16.5,23,/players/d/delebi01.html,29,813,363,173,22,17,36,156,260,76,.600,0,0,0,51,.671
Kevin Duckworth,11.9,28,/players/d/duckwke01.html,30,669,288,181,12,8,9,112,212,95,.528,0,0,0,64,.674
Richard Dumas,15.9,23,/players/d/dumasri02.html,30,937,521,193,49,49,31,203,372,154,.546,0,2,.000,115,.747
Blue Edwards,12.8,27,/players/e/edwarbl01.html,28,876,404,158,52,37,13,169,301,88,.561,1,4,.250,65,.739
Kevin Edwards,12.7,27,/players/e/edwarke01.html,31,1060,447,156,98,65,8,184,343,78,.536,16,36,.444,63,.808
LaPhonso Ellis,14.6,22,/players/e/ellisla01.html,27,819,365,254,31,22,53,156,277,76,.563,1,1,1.000,52,.684
Jo Jo English,6.4,22,/players/e/englijo01.html,28,376,105,31,33,19,7,43,102,29,.422,2,11,.182,17,.586
Greg Foster,8.9,24,/players/f/fostegr01.html,31,441,101,76,25,5,24,44,88,26,.500,0,0,0,13,.500
Rick Fox,13.6,23,/players/f/foxri01.html,34,371,136,63,32,26,5,59,94,30,.628,3,9,.333,15,.500
Chris Gatling,17.6,25,/players/g/gatlich01.html,27,839,604,244,24,37,61,239,388,179,.616,0,0,0,126,.704
Matt Geiger,15.2,23,/players/g/geigema01.html,30,597,193,124,24,11,9,80,156,50,.513,0,0,0,33,.660
Tate George,10.7,24,/players/g/georgta01.html,26,962,261,93,156,35,9,91,247,89,.368,10,29,.345,69,.775
Kendall Gill,14.7,24,/players/g/gillke01.html,31,345,114,42,27,39,8,40,83,53,.482,0,1,.000,34,.642
Greg Grant,9.9,26,/players/g/grantgr01.html,26,,740,104,,79,1,263,543,220,.484,43,83,.518,171,.777
Litterial Green,11.6,22,/players/g/greenli01.html,31,998,481,57,133,32,3,144,356,187,.404,48,122,.393,145,.775
Sean Green,9.7,22,/players/g/greense01.html,7,89,33,7,0,2,0,12,32,3,.375,7,17,.412,2,.667
Tom Gugliotta,15.9,23,/players/g/guglito01.html,21,171,56,35,5,10,1,18,42,29,.429,1,2,.500,19,.655
Steve Henson,11.5,24,/players/h/hensost01.html,31,950,233,63,114,50,2,75,190,69,.395,26,64,.406,57,.826
Carl Herrera,10.5,26,/players/h/herreca01.html,28,,713,370,62,,,261,459,238,.569,11,20,.550,180,.756
Sean Higgins,9.5,24,/players/h/higgise01.html,12,228,117,38,13,3,0,48,96,14,.500,10,20,.500,11,.786
Tyrone Hill,14.0,24,/players/h/hillty01.html,31,881,274,261,7,14,15,95,172,125,.552,0,0,0,84,.672
Donald Hodge,10.5,23,/players/h/hodgedo01.html,31,1118,467,253,22,26,23,164,303,195,.541,0,0,0,139,.713
Robert Horry,13.4,22,/players/h/horryro01.html,31,590,200,156,35,22,37,79,185,59,.427,4,13,.308,38,.644
Byron Houston,10.2,23,/players/h/houstby01.html,30,842,391,251,32,23,65,140,240,149,.583,0,0,0,111,.745
Brian Howard,10.3,25,/players/h/howarbr01.html,18,73,13,9,3,3,3,5,14,4,.357,0,0,0,3,.750
Stephen Howard,13.8,22,/players/h/howarst01.html,33,697,247,162,42,25,15,93,198,82,.470,0,0,0,61,.744
Mike Iuzzolino,12.9,25,/players/i/iuzzomi01.html,27,292,64,32,30,6,0,13,46,41,.283,3,12,.250,35,.854
Jim Jackson,13.5,22,/players/j/jacksji01.html,30,1035,482,166,110,39,14,194,389,93,.499,21,59,.356,73,.785
Keith Jennings,15.5,24,/players/j/jennike01.html,29,1060,375,119,183,75,0,116,237,132,.489,34,89,.382,109,.826
Dave Johnson,7.5,22,/players/j/johnsda01.html,37,541,156,74,37,17,4,59,129,68,.457,3,20,.150,35,.515
Larry Johnson,16.3,23,/players/j/johnsla02.html,40,1259,822,457,84,65,56,304,487,262,.624,13,38,.342,201,.767
Thomas Jordan,6.9,24,/players/j/jordath01.html,23,572,318,134,13,10,41,126,215,103,.586,0,1,.000,66,.641
Adam Keefe,12.9,22,/players/k/keefead01.html,33,653,277,179,22,18,11,93,147,132,.633,0,0,0,91,.689
Alec Kessler,9.6,26,/players/k/kesslal01.html,28,421,140,95,8,12,3,55,89,42,.618,0,0,0,30,.714
Rich King,10.2,23,/players/k/kingri01.html,29,420,136,84,22,6,20,56,108,34,.519,0,0,0,24,.706
Christian Laettner,16.9,23,/players/l/laettch01.html,36,607,319,170,44,35,28,115,159,121,.723,1,1,1.000,88,.727
Marcus Liberty,12.2,24,/players/l/liberma01.html,36,748,303,141,42,38,10,120,252,73,.476,6,12,.500,57,.781
Brad Lohaus,12.3,28,/players/l/lohaubr01.html,20,80,25,11,10,1,2,9,29,13,.310,1,1,1.000,7,.538
Charles Smith,15.7,27,/players/s/smithch01.html,31,799,313,113,68,28,20,121,290,51,.417,40,119,.336,31,.608
Steve Smith,16.1,23,/players/s/smithst01.html,28,812,299,112,82,27,2,108,232,91,.466,14,30,.467,69,.758
Latrell Sprewell,15.1,22,/players/s/sprewla01.html,33,865,295,165,62,14,62,116,227,84,.511,5,12,.417,58,.690
Clarence Weatherspoon,15.6,22,/players/w/weathcl01.html,27,915,397,289,30,31,44,152,279,156,.545,1,3,.333,92,.590
Reggie Williams,14.2,28,/players/w/willire01.html,27,948,419,127,67,38,5,154,357,98,.431,33,118,.280,78,.796
Scott Williams,13.3,24,/players/w/willisc01.html,36,540,199,150,31,29,27,78,157,77,.497,0,1,.000,43,.558
Walt Williams,14.2,22,/players/w/williwa02.html,26,617,190,92,66,33,13,75,170,53,.441,7,27,.259,33,.623
Ray Allen*,18.6,27,/players/a/allenra02.html,34,735,429,155,47,38,7,158,310,101,.510,33,82,.402,80,.792
Chris Andersen,16.7,24,/players/a/anderch01.html,29,628,292,224,20,,,108,214,133,.505,6,25,.240,70,.526
Shane Battier,12.6,24,/players/b/battish01.html,36,886,275,230,40,51,53,96,178,108,.539,4,24,.167,79,.731
Chauncey Billups,18.8,26,/players/b/billuch01.html,26,922,465,165,143,42,4,145,351,151,.413,45,127,.354,130,.861
Carlos Boozer,19.5,21,/players/b/boozeca01.html,34,807,443,213,37,37,23,164,267,155,.614,0,0,0,115,.742
Elton Brand,20.5,23,/players/b/brandel01.html,21,494,281,154,10,32,27,100,169,134,.592,0,0,0,81,.604
Caron Butler,15.0,22,/players/b/butleca01.html,29,950,445,221,89,63,9,151,347,171,.435,14,46,.304,129,.754
Marcus Camby,17.8,28,/players/c/cambyma01.html,29,634,296,185,36,18,105,117,237,104,.494,0,4,.000,62,.596
Vince Carter,18.6,26,/players/c/cartevi01.html,31,555,232,119,40,20,18,91,185,45,.492,19,55,.345,31,.689
Jason Collins,7.0,24,/players/c/collija04.html,1,15,7,6,0,0,0,1,4,7,.250,0,0,0,5,.714
Jamal Crawford,15.1,22,/players/c/crawfja01.html,17,577,283,47,76,19,16,105,255,51,.412,33,101,.327,40,.784
Keyon Dooling,11.5,22,/players/d/doolike01.html,28,676,243,58,85,32,12,78,170,110,.459,8,28,.286,79,.718
Tim Duncan*,24.2,26,/players/d/duncati01.html,33,997,323,317,30,12,124,120,220,110,.545,1,1,1.000,82,.745
Reggie Evans,11.7,22,/players/e/evansre01.html,35,1220,529,416,55,31,21,155,326,346,.475,1,1,1.000,218,.630
Derek Fisher,11.7,28,/players/f/fishede01.html,27,749,194,89,92,39,3,57,138,92,.413,9,31,.290,71,.772
Drew Gooden,16.3,21,/players/g/goodedr01.html,33,686,351,248,36,24,25,143,317,91,.451,5,16,.313,60,.659
Richard Hamilton,16.5,24,/players/h/hamilri01.html,32,980,509,138,88,40,11,174,451,116,.386,70,186,.376,91,.784
Brendan Haywood,14.6,23,/players/h/haywobr01.html,38,308,110,91,6,12,33,35,66,63,.530,0,0,0,40,.635
Grant Hill*,19.0,30,/players/h/hillgr01.html,36,887,402,183,79,51,30,160,310,133,.516,1,2,.500,81,.609
Juwan Howard,14.6,29,/players/h/howarju01.html,34,956,377,212,62,15,21,150,333,112,.450,0,2,.000,77,.688
Mike James,14.0,27,/players/j/jamesmi01.html,27,381,135,36,27,22,0,55,123,35,.447,1,13,.077,24,.686
Antawn Jamison,18.1,26,/players/j/jamisan01.html,32,1052,484,309,33,25,33,201,322,156,.624,0,1,.000,82,.526
Richard Jefferson,14.4,22,/players/j/jefferi01.html,28,755,317,134,80,18,11,104,210,125,.495,12,33,.364,97,.776
Jared Jeffries,9.6,21,/players/j/jeffrja01.html,34,1108,469,234,82,31,42,164,371,208,.442,12,49,.245,129,.620
Joe Johnson,15.4,21,/players/j/johnsjo02.html,23,732,368,132,50,45,12,140,302,79,.464,28,76,.368,60,.759
Jason Kidd*,17.9,29,/players/k/kiddja01.html,29,922,378,142,222,110,8,133,287,134,.463,24,84,.286,88,.657
Corey Maggette,17.9,23,/players/m/maggeco01.html,39,691,414,151,59,29,15,137,261,155,.525,29,84,.345,111,.716
Shawn Marion,18.8,24,/players/m/mariosh01.html,29,954,543,269,36,73,54,221,418,111,.529,20,67,.299,81,.730
Kenyon Martin,15.0,25,/players/m/martike01.html,22,233,62,74,10,14,24,26,40,32,.650,0,0,0,10,.313
Roger Mason,10.9,22,/players/m/masonro01.html,31,660,237,69,39,30,7,80,186,77,.430,14,49,.286,63,.818
Andre Miller,17.4,26,/players/m/millean02.html,34,872,292,126,157,38,21,104,195,113,.533,6,19,.316,78,.690
Mike Miller,14.3,22,/players/m/millemi01.html,28,677,341,146,58,35,7,115,233,114,.494,31,87,.356,80,.702
Nazr Mohammed,15.0,25,/players/m/mohamna01.html,16,88,37,24,3,4,8,13,29,24,.448,0,0,0,11,.458
Troy Murphy,15.4,22,/players/m/murphtr01.html,27,890,519,267,38,34,38,183,340,201,.538,4,13,.308,149,.741
Steve Nash*,20.0,28,/players/n/nashst01.html,31,743,252,78,67,26,4,78,184,57,.424,49,120,.408,47,.825
Lamar Odom,16.5,23,/players/o/odomla01.html,32,1116,564,302,122,27,49,203,421,182,.482,33,100,.330,125,.687
Jannero Pargo,11.8,23,/players/p/pargoja01.html,31,742,380,64,72,47,1,132,294,49,.449,73,175,.417,43,.878
Paul Pierce*,19.7,25,/players/p/piercpa01.html,34,862,404,180,61,44,27,143,341,137,.419,35,115,.304,83,.606
Tayshaun Prince,13.7,22,/players/p/princta01.html,37,747,214,142,45,25,21,82,198,32,.414,29,101,.287,21,.656
Joel Przybilla,12.0,23,/players/p/przybjo01.html,28,713,188,163,41,16,84,79,141,52,.560,0,0,0,30,.577
Zach Randolph,19.3,21,/players/r/randoza01.html,33,654,356,221,34,24,22,138,235,126,.587,0,1,.000,80,.635
Jason Richardson,16.3,22,/players/r/richaja01.html,37,582,189,153,23,20,6,79,157,42,.503,8,27,.296,23,.548
Quentin Richardson,12.9,22,/players/r/richaqu01.html,31,1040,586,327,32,24,8,203,425,183,.478,44,127,.346,136,.743
John Salmons,12.1,23,/players/s/salmojo01.html,29,705,161,141,57,28,23,61,127,40,.480,10,41,.244,29,.725
Ansu Sesay,11.1,26,/players/s/sesayan01.html,27,586,195,103,32,12,17,63,178,76,.354,17,72,.236,52,.684
Bobby Simmons,12.9,22,/players/s/simmobo01.html,31,949,347,190,82,53,3,112,300,116,.373,31,112,.277,92,.793
Brian Skinner,12.0,26,/players/s/skinnbr01.html,18,501,236,147,9,15,69,98,164,95,.598,0,0,0,40,.421
Reggie Slater,13.7,32,/players/s/slatere01.html,31,703,193,211,6,19,16,66,117,102,.564,0,1,.000,61,.598
Tamar Slay,6.5,22,/players/s/slayta01.html,27,401,162,68,36,17,7,60,161,29,.373,22,73,.301,20,.690
Joe Smith,15.4,27,/players/s/smithjo02.html,30,988,582,321,25,42,93,206,395,229,.522,2,5,.400,168,.734
