Names,PER,Age,Href,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Kennedy Chandler,10.6,20,/players/c/chandke01.html,34,1048,473,110,161,74,8,182,392,99,.464,49,128,.383,60,.606
Max Christie,7.4,19,/players/c/chrisma02.html,35,1078,324,121,51,18,17,112,293,74,.382,39,123,.317,61,.824
Josh Christopher,11.9,21,/players/c/chrisjo01.html,15,446,214,71,21,22,8,76,176,55,.432,18,59,.305,44,.800
Brandon Clarke,20.4,26,/players/c/clarkbr01.html,31,728,274,174,46,22,38,109,172,98,.634,1,6,.167,55,.561
Jordan Clarkson,15.6,30,/players/c/clarkjo01.html,27,672,310,56,52,20,3,97,224,121,.433,20,66,.303,96,.793
Nic Claxton,19.4,23,/players/c/claxtni01.html,33,485,130,129,6,5,42,44,98,65,.449,8,22,.364,34,.523
Amir Coffey,11.0,25,/players/c/coffeam01.html,33,1097,404,127,102,35,5,131,292,146,.449,32,95,.337,110,.753
John Collins,19.1,25,/players/c/collijo01.html,31,446,227,122,7,9,23,81,148,94,.547,0,0,0,65,.691
Zach Collins,13.1,25,/players/c/colliza01.html,39,673,390,230,16,18,69,135,207,148,.652,10,21,.476,110,.743
Chance Comanche,12.2,26,/players/c/comanch01.html,23,139,43,36,5,1,7,16,33,16,.485,0,0,0,11,.688
Pat Connaughton,11.4,30,/players/c/connapa01.html,34,820,239,150,30,17,5,85,201,37,.423,41,120,.342,28,.757
Xavier Cooks,14.3,27,/players/c/cooksxa01.html,32,825,248,194,49,24,47,97,181,83,.536,3,16,.188,51,.614
Robert Covington,13.1,32,/players/c/covinro01.html,32,873,368,208,37,34,35,134,313,79,.428,37,96,.385,63,.797
Torrey Craig,11.2,32,/players/c/craigto01.html,30,916,431,216,44,29,11,155,408,78,.380,68,214,.318,53,.679
Jarrett Culver,9.3,23,/players/c/culveja01.html,37,978,415,177,67,41,27,145,319,108,.455,55,144,.382,70,.648
Cade Cunningham,13.2,21,/players/c/cunnica01.html,27,956,544,167,94,43,21,175,400,156,.438,62,155,.400,132,.846
Seth Curry,13.7,32,/players/c/curryse01.html,35,1277,707,153,79,48,9,243,583,143,.417,102,294,.347,119,.832
Terence Davis,13.4,25,/players/d/daviste02.html,20,132,36,18,6,7,2,13,30,19,.433,3,11,.273,7,.368
JD Davison,10.1,20,/players/d/davisjd01.html,33,852,282,157,143,32,12,99,214,81,.463,25,83,.301,59,.728
Darius Days,18.3,23,/players/d/daysda01.html,35,510,184,140,13,26,11,66,136,35,.485,26,68,.382,26,.743
Dewayne Dedmon,15.1,33,/players/d/dedmode01.html,20,465,152,109,6,14,19,65,118,41,.551,0,1,.000,22,.537
Matthew Dellavedova,9.7,32,/players/d/dellama01.html,34,1236,412,119,153,40,0,121,310,113,.390,74,186,.398,96,.850
Moussa Diabaté,14.2,21,/players/d/diabamo01.html,32,796,289,191,26,11,28,117,216,84,.542,3,14,.214,52,.619
Mamadi Diakite,10.9,26,/players/d/diakima01.html,32,449,121,82,6,8,39,50,92,33,.543,3,11,.273,18,.545
Hamidou Diallo,13.6,24,/players/d/diallha01.html,37,918,371,135,46,28,13,134,313,125,.428,26,77,.338,77,.616
Spencer Dinwiddie,15.5,29,/players/d/dinwisp01.html,36,988,360,131,64,27,9,99,246,147,.402,42,96,.438,120,.816
Donte DiVincenzo,12.7,26,/players/d/divindo01.html,9,74,15,16,4,4,0,6,21,0,.286,3,17,.176,0,
Tyler Dorsey,10.7,26,/players/d/dorsety01.html,36,1083,484,155,71,29,7,153,347,156,.441,67,165,.406,111,.712
Luguentz Dort,10.8,23,/players/d/dortlu01.html,34,1072,547,145,79,52,7,174,430,207,.405,54,176,.307,145,.700
Ayo Dosunmu,10.7,23,/players/d/dosunay01.html,32,1000,442,128,104,41,8,163,375,95,.435,50,142,.352,66,.695
Devon Dotson,11.0,23,/players/d/dotsode01.html,36,1168,442,132,127,49,5,147,305,147,.482,33,91,.363,115,.782
Jeff Dowtin,9.0,25,/players/d/dowtije01.html,32,711,176,48,69,17,7,64,153,49,.418,20,57,.351,28,.571
PJ Dozier,10.3,26,/players/d/doziepj01.html,34,647,229,101,70,34,13,91,239,68,.381,10,47,.213,37,.544
Chris Duarte,10.9,25,/players/d/duartch01.html,28,844,361,157,46,47,15,126,304,78,.414,47,140,.336,62,.795
David Duke Jr.,9.4,23,/players/d/dukeda01.html,34,840,241,90,73,23,11,84,217,74,.387,22,74,.297,51,.689
Kris Dunn,12.4,28,/players/d/dunnkr01.html,25,680,142,120,79,29,7,49,123,58,.398,4,14,.286,40,.690
Jalen Duren,17.3,19,/players/d/durenja01.html,29,733,347,236,37,24,61,141,236,104,.597,0,1,.000,65,.625
Tari Eason,15.2,21,/players/e/easonta01.html,23,451,168,136,30,27,29,67,145,47,.462,7,29,.241,27,.574
Anthony Edwards,16.0,21,/players/e/edwaran01.html,32,1057,610,167,91,43,18,203,505,171,.402,72,245,.294,132,.772
Kessler Edwards,8.3,22,/players/e/edwarke02.html,34,978,333,185,33,39,34,120,274,62,.438,50,135,.370,43,.694
Keon Ellis,14.0,23,/players/e/elliske01.html,32,560,175,129,34,35,14,60,119,47,.504,21,54,.389,34,.723
Joel Embiid,27.9,28,/players/e/embiijo01.html,28,647,313,227,38,25,72,107,171,143,.626,1,5,.200,98,.685
Drew Eubanks,17.1,25,/players/e/eubandr01.html,32,685,242,146,13,14,39,101,174,63,.580,0,0,0,40,.635
Bruno Fernando,13.3,24,/players/f/fernabr01.html,30,671,308,196,21,11,37,118,204,96,.578,1,3,.333,71,.740
Dorian Finney-Smith,10.9,29,/players/f/finnedo01.html,33,957,209,232,62,24,23,69,208,77,.332,26,71,.366,45,.584
Malachi Flynn,10.4,24,/players/f/flynnma01.html,31,1027,302,91,91,21,1,104,263,49,.395,58,150,.387,36,.735
Bryn Forbes,11.0,29,/players/f/forbebr01.html,32,904,407,111,38,25,1,136,314,92,.433,61,157,.389,74,.804
Trent Forrest,10.0,24,/players/f/forretr01.html,35,538,171,94,55,43,5,61,129,71,.473,1,8,.125,48,.676
De'Aaron Fox,18.3,25,/players/f/foxde01.html,36,1064,601,143,165,53,7,214,447,212,.479,17,69,.246,156,.736
Markelle Fultz,14.8,24,/players/f/fultzma01.html,25,892,579,143,148,40,30,209,439,168,.476,52,126,.413,109,.649
Wenyen Gabriel,12.8,25,/players/g/gabriwe01.html,38,672,174,184,26,11,34,60,148,55,.405,20,63,.317,34,.618
Daniel Gafford,20.3,24,/players/g/gaffoda01.html,35,790,413,217,24,19,76,164,271,161,.605,0,0,0,85,.528
Darius Garland,15.7,23,/players/g/garlada01.html,5,139,81,19,13,4,2,29,54,16,.537,11,23,.478,12,.750
Luka Garza,18.4,24,/players/g/garzalu01.html,33,715,400,211,35,11,32,146,262,135,.557,16,46,.348,92,.681
Shai Gilgeous-Alexander,20.1,24,/players/g/gilgesh01.html,37,1248,532,153,189,61,18,183,377,175,.485,23,57,.404,143,.817
Anthony Gill,12.8,30,/players/g/gillan01.html,31,784,236,146,35,17,10,86,190,82,.453,11,28,.393,53,.646
Jacob Gilyard,7.3,24,/players/g/gilyaja01.html,32,1166,366,69,130,89,1,126,279,67,.452,58,151,.384,56,.836
